expression,meaning_en,meaning_es,example_es,distractor_1,distractor_2,distractor_3
ser un cabezota,to be stubborn / pig-headed,alguien que no cambia de opinión por nada y se mantiene firme en su postura sin razón,No le hagas caso es un cabezota,alguien que tiene una memoria prodigiosa y recuerda todos los detalles con gran precisión,persona que habla demasiado y no sabe cuándo es el momento de callarse,alguien que toma decisiones de manera impulsiva sin pensar en las consecuencias para los demás
tener un morro que te lo pisas / tener mucha cara,to have a lot of nerve or cheek; shameless audacity,tener mucha desvergüenza o atrevimiento para hacer o pedir algo sin sentir ningún tipo de vergüenza,¡Qué morro tiene! Le dejé dinero y encima me pide más.,ser muy hábil para negociar y conseguir lo que uno quiere mediante el diálogo persuasivo,mostrar una simpatía exagerada con todo el mundo para caerle bien a cualquiera,tener una apariencia física muy llamativa que atrae la atención de los demás sin esfuerzo
ser clavado a alguien,to be the spitting image of someone (physical resemblance),parecerse físicamente a alguien de manera muy notable como si fueran casi gemelos,Eres clavada a tu madre.,compartir el mismo carácter y forma de ser con otra persona de manera muy evidente,estar tan unido a alguien que resulta imposible imaginarse la vida sin esa persona,copiar los gestos y maneras de alguien de forma inconsciente por pasar mucho tiempo juntos
no tener dos dedos de frente,to have no common sense / to be dim-witted,no tener sentido común ni capacidad de razonamiento básico; actuar sin pensar en las consecuencias,¿Cómo pudo hacer eso? No tiene dos dedos de frente.,ser muy torpe con las manos y no saber realizar tareas manuales por más que lo intente,no tener ningún tipo de ambición ni ganas de superarse en la vida personal o profesional,ser incapaz de recordar cosas sencillas y olvidarlo todo con mucha facilidad
tener buena pinta,to look good or promising (based on first impressions),tener un aspecto atractivo o prometedor a primera vista sin conocer aún el resultado,Esta tortilla tiene muy buena pinta.,tener muy buen olfato para los negocios y detectar oportunidades con facilidad,tener un carácter tan agradable que la gente se siente cómoda en su presencia enseguida,saber vestirse bien y presentarse de forma impecable en cualquier situación social
meter la pata,to put your foot in it; to make an embarrassing blunder or gaffe,decir o hacer algo inapropiado sin querer causando una situación incómoda o embarazosa,Metí la pata cuando le pregunté cuándo era la boda… y ya se habían separado.,entrometerse en los asuntos ajenos sin que nadie haya pedido la opinión de uno,retrasar el inicio de una tarea por indecisión o falta de motivación suficiente,cometer el mismo error repetidamente sin aprender de las experiencias pasadas
colarse en...,to sneak into a place without permission; also to cut in line,entrar a un lugar sin autorización o saltarse el turno sin esperar como los demás,Se coló en el concierto sin entrada.,perderse por un lugar desconocido al no haber prestado atención al camino de entrada,entrar en un sitio con mucho sigilo para sorprender a alguien sin que te vean llegar,esconderse en un lugar para evitar cruzarse con alguien a quien no se quiere ver
creerse el ombligo del mundo,to think oneself the center of the universe; to be self-centered or narcissistic,creer que uno es la persona más importante del mundo y que todo gira a su alrededor,No la soporto se cree el ombligo del mundo.,buscar siempre la aprobación de los demás antes de tomar cualquier tipo de decisión propia,sentirse constantemente observado y juzgado por los demás sin ningún motivo real,compararse constantemente con los demás y sentir que siempre sale perdiendo en esa comparación
ponerse morado,to stuff yourself with food or drink; to overindulge,comer o beber en exceso hasta hartarse por completo,Nos pusimos morados de paella.,enfadarse tanto que uno no es capaz de controlar sus reacciones ni sus palabras,avergonzarse de algo hasta el punto de sonrojarse delante de los demás,trabajar sin descanso hasta quedarse completamente agotado y sin energía alguna
ponerse las botas,to feast; to make the most of an opportunity (food or otherwise),disfrutar al máximo de algo ya sea comida o cualquier otra oportunidad aprovechándola sin límites,Se puso las botas en las rebajas.,prepararse con mucho cuidado antes de emprender un viaje largo o una aventura importante,esforzarse al máximo en algo con el objetivo de demostrar lo que uno vale de verdad,actuar con total seguridad en uno mismo en cualquier situación sin importar las dificultades
tener un cacao mental / tener la cabeza hecha un lío,to have a chaotic or muddled mind; to be mentally scrambled,tener los pensamientos completamente desordenados y no ser capaz de pensar con claridad normalmente de forma temporal,Llevo toda la semana con un cacao mental no sé ni por dónde empezar.,tener demasiadas obligaciones al mismo tiempo y no saber a cuál darle prioridad,estar tan cansado que resulta imposible concentrarse en nada durante un buen rato,recordar algo de manera confusa sin estar seguro de si realmente ocurrió o fue un sueño
hacer la vista gorda,to turn a blind eye; to deliberately ignore something wrong,fingir que no se ve algo incorrecto que está pasando para no tener que intervenir o enfrentarse a ello,El jefe hacía la vista gorda con los retrasos del equipo.,exagerar a propósito lo que uno ve para conseguir despertar la compasión de los demás,observar a alguien durante demasiado tiempo hasta resultar incómodo o molesto,no darse cuenta de lo que ocurre alrededor por falta de atención o perspicacia propia
dar la lata,to pester or bother someone; to be annoying,molestar a alguien de forma repetida o insistente sin dejarle tranquilo,¡Deja de dar la lata y déjame trabajar!,hablar durante mucho tiempo sin parar sobre el mismo tema sin llegar a ningún punto,quejarse constantemente de todo sin estar dispuesto a buscar ninguna solución posible,exigir a los demás un nivel de perfección que muy poca gente puede alcanzar
ni chicha ni limonada,neither one thing nor the other; wishy-washy,algo o alguien que no es ni una cosa ni la otra que no tiene una identidad o posición clara,Su respuesta fue ni chicha ni limonada nunca supe si venía o no.,algo que parece sencillo a primera vista pero que esconde una complejidad enorme que pocos detectan,algo que empieza con mucho potencial pero acaba siendo una gran decepción al final,una persona que promete una cosa y hace la contraria sin ningún tipo de coherencia
a buenas horas mangas verdes,"said sarcastically when someone or something shows up too late to be of any use — ""oh great now you show up!""",expresión irónica que se usa cuando alguien llega o actúa cuando ya es demasiado tarde para que sirva de algo,¡A buenas horas mangas verdes! Ya terminamos todo sin ti.,hacer algo con un entusiasmo exagerado que no se corresponde en absoluto con la situación,aparecer justo en el momento oportuno para llevarse el mérito de lo que hicieron otros,llegar antes de lo esperado poniendo a los demás en una situación incómoda e imprevista
estar en Babia / estar a por uvas / estar en la parra,to have your head in the clouds; to be daydreaming or completely distracted,estar distraído y con la mente en otro lugar sin prestar atención a lo que ocurre alrededor,Le pregunté tres veces y no me contestó estaba en Babia.,estar muy cansado y sin energía después de un esfuerzo físico o mental considerable,estar esperando algo con tanta impaciencia que resulta imposible pensar en otra cosa,sentirse completamente perdido en un entorno desconocido sin saber cómo orientarse
tirar la casa por la ventana,to spare no expense; to spend lavishly usually for a celebration,gastar muchísimo dinero sin reparar en el coste normalmente para celebrar algo especial,Para la boda de su hija tiraron la casa por la ventana.,deshacerse de todas las pertenencias antiguas para empezar de cero una nueva etapa vital,actuar de manera impulsiva y sin pensar causando daños que son difíciles de reparar,compartir todo lo que uno tiene con los demás sin guardar nada para sí mismo
mucho ruido y pocas nueces / perro ladrador poco mordedor / mucho lirili y poco lirile,all talk and no action; a lot of fuss or boasting without anything to back it up,hacer mucho ruido o aparentar mucho pero luego no cumplir ni tener la sustancia que se prometía,Al final su presentación fue mucho ruido y pocas nueces.,trabajar mucho y con esfuerzo pero obtener resultados que no están a la altura esperada,quejarse constantemente de las dificultades sin hacer nada por cambiar la situación,llamar mucho la atención al principio pero acabar pasando desapercibido con el tiempo
irse de rositas,to get away with something; to do something wrong and escape without any consequences,hacer algo malo o incorrecto y salir sin recibir ningún castigo ni consecuencia por ello,Rompió todas las reglas y se fue de rositas.,marcharse de un lugar con mucha elegancia dejando una buena impresión en todos,salir de una situación muy difícil gracias a la suerte sin haber hecho nada especial,retirarse de un proyecto en el último momento cuando más se necesitaba la presencia de uno
más vale pájaro en mano que ciento volando,a bird in the hand is worth two in the bush; better to keep what you have than risk it for something uncertain,es mejor conformarse con lo que ya se tiene asegurado que arriesgarlo por algo mayor que quizás nunca llegue,Me quedé con el trabajo actual más vale pájaro en mano que ciento volando.,más vale tener muchos conocidos que pocos amigos de verdad cuando llegan los problemas,es mejor actuar rápido y aprovechar las oportunidades antes de que desaparezcan del todo,tener algo de poco valor hoy puede convertirse en algo muy valioso con el paso del tiempo
tener las manos atadas,to have one's hands tied; to have no choice or freedom to act,no tener libertad ni margen para actuar debido a limitaciones externas o circunstancias fuera del propio control,Me gustaría ayudarte pero tengo las manos atadas.,no saber cómo enfrentarse a una situación por falta de experiencia o conocimiento previo,estar tan ocupado con otras tareas que resulta imposible atender nuevas responsabilidades,sentirse tan nervioso que el cuerpo no responde y uno se queda paralizado sin reaccionar
cuando el río suena agua lleva,there's no smoke without fire; if rumours are circulating there's usually some truth behind them,si la gente habla de algo o corren rumores normalmente es porque hay algo de verdad detrás aunque no se sepa todo,Dicen que van a despedir a gente en la empresa… cuando el río suena agua lleva.,los problemas que parecen pequeños al principio suelen crecer hasta volverse incontrolables,cuando algo va mal hay que buscar la causa en el origen y no en las consecuencias visibles,si hay mucho movimiento en un lugar es señal clara de que algo importante está pasando
darle la vuelta a la tortilla,to turn the tables; to completely reverse a situation often in one's favour,cambiar una situación de forma radical de modo que quien estaba en desventaja pasa a estar en una posición mejor,Iban perdiendo 3-0 y le dieron la vuelta a la tortilla en el segundo tiempo.,conseguir sacarle partido a una situación difícil encontrando el lado positivo de las cosas,repetir el mismo argumento con palabras distintas para que la otra persona lo comprenda mejor,hacer exactamente lo contrario de lo que se esperaba sorprendiendo a propios y extraños
dejar en ascuas,to leave someone in suspense or in the dark; to withhold information leaving someone anxious and uncertain,dejar a alguien sin saber lo que necesita saber generándole incertidumbre o ansiedad por la falta de información,¡No me dejes en ascuas cuéntame qué pasó!,terminar una conversación de forma abrupta sin llegar a ningún tipo de acuerdo entre las partes,generar tanta expectativa en alguien que luego la realidad no está a la altura de lo prometido,enfadar a alguien de tal manera que no consigue calmarse durante un tiempo prolongado
del dicho al hecho hay un trecho,easier said than done; there is a big gap between saying you will do something and actually doing it,es mucho más fácil prometer o hablar de hacer algo que llevarlo realmente a la práctica,Dijo que iba a correr una maratón pero del dicho al hecho hay un trecho.,lo que se dice en un momento de calma suena muy diferente cuando las cosas se complican,hay mucha distancia entre lo que uno cree saber y lo que realmente comprende de verdad,las personas que más hablan de sus logros suelen ser las que menos han conseguido en la vida
quedarse frito,to fall asleep suddenly and unexpectedly usually without meaning to,dormirse de repente sin pretenderlo normalmente en un lugar o situación poco habitual como el sofá o viendo la tele,Puse una película y a los diez minutos me quedé frito.,quedarse paralizado de miedo o sorpresa sin saber cómo reaccionar ante algo inesperado,sufrir un golpe de calor tan intenso que uno pierde las fuerzas y no puede moverse bien,quedarse sin palabras ante una situación que no se esperaba y no saber qué decir
meterse en la boca del lobo,to walk into the lion's den; to knowingly put yourself in a dangerous or risky situation,adentrarse voluntariamente en una situación peligrosa o arriesgada sin haber medido bien las consecuencias,Fui solo a ese barrio de noche me metí en la boca del lobo.,hablar demasiado de algo que debería mantenerse en secreto poniendo en riesgo a los demás,enfrentarse directamente al problema sin rodeos ni intermediarios de ningún tipo,confiar en alguien que no lo merece y acaba traicionando esa confianza tarde o temprano
estar en el ojo del huracán / en el ojo de la tormenta,to be at the epicentre of a storm of controversy or chaos; not necessarily by choice,estar en el centro de una situación caótica o polémica donde todo gira a tu alrededor y la presión es máxima,Desde que salió la noticia el director está en el ojo del huracán.,estar completamente ajeno a lo que ocurre alrededor sin enterarse de absolutamente nada,sentir que el tiempo pasa muy despacio cuando uno está esperando una noticia importante,enfrentarse a una serie de problemas encadenados que no dan respiro ni tregua
